happiness,cond,Vsafe,riskyHi,riskyLo,choseRisky,subjectWon,partnerWon,rewardSubj,rewardPart,subject,EV,ineq,ineqAdv,ineqDisadv,sRPE,pRPE,subjDecided,socialTrial
-0.182574185835056,1,-0.2,0,-0.63,1,0,0,-0.63,-0.63,5,-0.315,0,NaN,NaN,-0.315,-0.315,1,1
1.8357092337183,1,0,0.25,-0.05,1,1,1,0.25,0.25,6,0.1,0,0,0,0.15,0.15,1,1
-1.28573966572172,1,0,0.55,-0.42,1,0,1,-0.42,0.55,6,0.065,1,NaN,1,-0.485,0.485,1,1
0.497945419672575,2,-0.15,0,-0.25,1,1,0,0,-0.25,6,-0.125,1,1,NaN,0.125,-0.125,0,1
0.943866691021149,2,0,0.55,-0.11,1,1,1,0.55,0.55,6,0.22,0,0,0,0.33,0.33,0,1
0.0520241483240006,1,0,0.55,-0.11,1,0,0,-0.11,-0.11,6,0.22,0,NaN,NaN,-0.33,-0.33,1,1
-0.839818394373148,1,0,0.4,-0.08,1,0,0,-0.08,-0.08,6,0.16,0,NaN,NaN,-0.24,-0.24,1,1
-1.28573966572172,1,0.1,0.36,0,1,0,1,0,0.36,6,0.18,1,NaN,1,-0.18,0.18,1,1
-1.7316609370703,2,-0.3,0,-0.55,1,0,1,-0.55,0,6,-0.275,1,NaN,1,-0.275,0.275,0,1
-1.7316609370703,1,0.2,1,0,1,0,0,0,0,6,0.5,0,NaN,NaN,-0.5,-0.5,1,1
-1.12342582920777,1,0,0.75,-0.67,1,1,0,0.75,-0.67,6,0.04,1,1,NaN,0.71,-0.71,1,1
0.206946863275115,2,0.1,0.5,0,1,1,0,0.5,0,6,0.25,1,1,NaN,0.25,-0.25,0,1
0.650404427436077,1,0.3,1.08,0,1,0,1,0,1.08,6,0.54,1,NaN,1,-0.54,0.54,1,1
1.537319555758,2,0.25,0.79,0,1,1,1,0.79,0.79,6,0.395,0,0,0,0.395,0.395,0,1
1.537319555758,2,0.15,0.63,0,1,1,1,0.63,0.63,6,0.315,0,0,0,0.315,0.315,0,1
-1.3918168522466,2,0,0.75,-0.38,1,0,0,-0.38,-0.38,6,0.185,0,NaN,NaN,-0.565,-0.565,0,1
-0.321188504364599,2,0.15,0.63,0,1,0,1,0,0.63,6,0.315,1,NaN,1,-0.315,0.315,0,1
-0.856502678305599,1,0,0.15,-0.13,1,0,1,-0.13,0.15,6,0.01,1,NaN,1,-0.14,0.14,1,1
-1.3918168522466,2,0,0.15,-0.12,1,0,1,-0.12,0.15,6,0.015,1,NaN,1,-0.135,0.135,0,1
1.8200681913994,2,0.25,0.7,0,1,1,1,0.7,0.7,6,0.35,0,0,0,0.35,0.35,0,1
0.0504765551685462,1,0,0.25,-0.28,1,1,0,0.25,-0.28,7,-0.015,1,1,NaN,0.265,-0.265,1,1
0.656195217191109,1,0.25,0.79,0,1,1,0,0.79,0,7,0.395,1,1,NaN,0.395,-0.395,1,1
-1.16096076887658,2,0,0.4,-0.26,1,1,0,0.4,-0.26,7,0.07,1,1,NaN,0.33,-0.33,0,1
-0.858101437865298,2,0.25,0.7,0,1,0,1,0,0.7,7,0.35,1,NaN,1,-0.35,0.35,0,1
0.0504765551685462,1,-0.25,0,-0.56,1,0,1,-0.56,0,7,-0.28,1,NaN,1,-0.28,0.28,1,1
1.26191387921367,2,0,0.4,-0.36,1,0,1,-0.36,0.4,7,0.02,1,NaN,1,-0.38,0.38,0,1
0.0504765551685462,2,0,0.75,-0.26,1,1,0,0.75,-0.26,7,0.245,1,1,NaN,0.505,-0.505,0,1
-1.16096076887658,1,-0.15,0,-0.63,1,0,1,-0.63,0,7,-0.315,1,NaN,1,-0.315,0.315,1,1
0.656195217191109,1,-0.1,0,-0.42,1,0,1,-0.42,0,7,-0.21,1,NaN,1,-0.21,0.21,1,1
1.86763254123624,1,0,0.75,-0.67,1,1,0,0.75,-0.67,7,0.04,1,1,NaN,0.71,-0.71,1,1
1.26191387921367,2,0.3,1.5,0,1,0,1,0,1.5,7,0.75,1,NaN,1,-0.75,0.75,0,1
1.86763254123624,2,0.1,0.22,0,1,1,1,0.22,0.22,7,0.11,0,0,0,0.11,0.11,0,1
0.0504765551685462,2,-0.25,0,-0.42,1,0,1,-0.42,0,7,-0.21,1,NaN,1,-0.21,0.21,0,1
0.0911799693606772,2,0.2,0.56,0,1,1,0,0.56,0,7,0.28,1,1,NaN,0.28,-0.28,0,1
-0.406165318061198,2,0.3,0.67,0,1,1,1,0.67,0.67,7,0.335,0,0,0,0.335,0.335,0,1
-0.903510605483073,2,-0.25,0,-0.46,1,0,0,-0.46,-0.46,7,-0.23,0,NaN,NaN,-0.23,-0.23,0,1
0.588525256782553,1,-0.1,0,-0.18,1,0,0,-0.18,-0.18,7,-0.09,0,NaN,NaN,-0.09,-0.09,1,1
-2.89289175517057,1,0,0.15,-0.1,1,0,0,-0.1,-0.1,7,0.025,0,NaN,NaN,-0.125,-0.125,1,1
0.588525256782553,2,0,0.4,-0.08,1,0,1,-0.08,0.4,7,0.16,1,NaN,1,-0.24,0.24,0,1
0.0911799693606772,2,0,0.75,-0.15,1,0,1,-0.15,0.75,7,0.3,1,NaN,1,-0.45,0.45,0,1
